[2026-08-21 05:44:38] OK (155s | users: 0 | new records pulled: 0 | latest: 2023-10-30)
[2026-08-21 05:45:49] FAIL (31s | users: 0 | new records pulled: 0 | latest: -)
[2026-08-21 05:46:34] FAIL (31s | users: 0 | new records pulled: 0 | latest: -)
[2026-08-21 05:47:34] FAIL (31s | users: 0 | new records pulled: 0 | latest: -)
[2026-08-21 05:50:14] OK (11s | users: 0 | new records pulled: 0 | latest: -)
[2026-08-21 05:51:18] FAIL (15s | users: 0 | new records pulled: 0 | latest: -) :: Error: Cannot connect to ZKTeco device at 192.168.1.201:4370. Check network connectivity.
[2026-08-21 05:52:21] FAIL (18s | users: 0 | new records pulled: 0 | latest: -) :: Error: Cannot connect to ZKTeco device at 192.168.1.201:4370. Check network connectivity.
[2026-08-21 05:53:21] FAIL (18s | users: 0 | new records pulled: 0 | latest: -) :: Error: Cannot connect to ZKTeco device at 192.168.1.201:4370. Check network connectivity.
[2026-08-21 05:54:20] FAIL (18s | users: 0 | new records pulled: 0 | latest: -) :: Error: Cannot connect to ZKTeco device at 192.168.1.201:4370. Check network connectivity.
[2026-08-21 05:57:21] OK (139s | users: 140 | new records pulled: 0 | latest: -)
[2026-08-21 05:58:19] FAIL (18s | users: 0 | new records pulled: 0 | latest: -) :: Error: Cannot connect to ZKTeco device at 192.168.1.201:4370. Check network connectivity.
[2026-08-21 06:00:57] OK (115s | users: 140 | new records pulled: 0 | latest: -)
[2026-08-21 06:01:20] FAIL (18s | users: 0 | new records pulled: 0 | latest: -) :: Error: Cannot connect to ZKTeco device at 192.168.1.201:4370. Check network connectivity.
[2026-08-21 06:03:11] OK (69s | users: 140 | new records pulled: 35846 | latest: -)
[2026-08-21 06:34:30] OK (163s | users: 140 | new records pulled: 0 | latest: -)
[2026-08-21 06:35:37] OK (35s | users: 140 | new records pulled: 35847 | latest: -)
[2026-08-21 06:36:53] OK (50s | users: 140 | new records pulled: 35847 | latest: -)
[2026-08-21 06:37:37] OK (34s | users: 140 | new records pulled: 35847 | latest: -)
[2026-08-21 06:46:17] OK (97s | users: 140 | new records pulled: 0 | latest: -)
[2026-08-21 06:48:47] OK (94s | users: 140 | new records pulled: 0 | latest: -)
[2026-08-21 06:50:36] OK (94s | users: 140 | new records pulled: 0 | latest: -)
[2026-08-21 06:52:38] OK (93s | users: 140 | new records pulled: 0 | latest: -)
[2026-08-21 06:54:46] OK (94s | users: 140 | new records pulled: 0 | latest: -)
[2026-08-21 06:55:19] FAIL (18s | users: 0 | new records pulled: 0 | latest: -) :: Error: Cannot connect to ZKTeco device at 192.168.1.201:4370. Check network connectivity.
[2026-08-21 06:56:30] FAIL (18s | users: 0 | new records pulled: 0 | latest: -) :: Error: Cannot connect to ZKTeco device at 192.168.1.201:4370. Check network connectivity.
[2026-08-21 06:57:20] FAIL (18s | users: 0 | new records pulled: 0 | latest: -) :: Error: Cannot connect to ZKTeco device at 192.168.1.201:4370. Check network connectivity.
[2026-08-21 06:58:35] FAIL (19s | users: 0 | new records pulled: 0 | latest: -) :: Error: Cannot connect to ZKTeco device at 192.168.1.201:4370. Check network connectivity.
[2026-08-21 06:59:22] FAIL (18s | users: 0 | new records pulled: 0 | latest: -) :: Error: Cannot connect to ZKTeco device at 192.168.1.201:4370. Check network connectivity.
[2026-08-21 07:00:19] FAIL (18s | users: 0 | new records pulled: 0 | latest: -) :: Error: Cannot connect to ZKTeco device at 192.168.1.201:4370. Check network connectivity.
[2026-08-21 07:01:38] FAIL (18s | users: 0 | new records pulled: 0 | latest: -) :: Error: Cannot connect to ZKTeco device at 192.168.1.201:4370. Check network connectivity.
[2026-08-21 07:02:20] FAIL (18s | users: 0 | new records pulled: 0 | latest: -) :: Error: Cannot connect to ZKTeco device at 192.168.1.201:4370. Check network connectivity.
[2026-08-21 07:03:19] FAIL (18s | users: 0 | new records pulled: 0 | latest: -) :: Error: Cannot connect to ZKTeco device at 192.168.1.201:4370. Check network connectivity.
[2026-08-21 07:04:20] FAIL (18s | users: 0 | new records pulled: 0 | latest: -) :: Error: Cannot connect to ZKTeco device at 192.168.1.201:4370. Check network connectivity.
[2026-08-21 07:05:59] OK (57s | users: 140 | new records pulled: 35847 | latest: -)
[2026-08-21 07:06:45] OK (42s | users: 140 | new records pulled: 35848 | latest: -)
[2026-08-21 07:07:15] OK (13s | users: 0 | new records pulled: 0 | latest: -)
[2026-08-21 07:11:39] OK (97s | users: 0 | new records pulled: 35848 | latest: -)
[2026-08-21 07:14:40] OK (99s | users: 140 | new records pulled: 0 | latest: -)
